id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26105054,* Nice apartment sagrada familia,7222634,Stefano,Sant Martí,el Camp de l'Arpa del Clot,41.41185,2.18457,Entire home/apt,80,31,9,2022-01-30,0.33,2,234,4,
26105391,Vintage apartment,196221110,Manuela,Eixample,el Fort Pienc,41.39624,2.18289,Entire home/apt,100,31,0,,,1,180,0,
26112527,HABITACIÓN INDIVIDUAL CAMA DOBLE EN DUPLEX 250 M2,46754345,Jordi,Sants-Montjuïc,Sants - Badal,41.37315,2.12972,Private room,400,360,0,,,2,364,0,
26113709,Una bonita Habitación Triple Superior con baño,192790098,Simon,Eixample,Sant Antoni,41.38244,2.16251,Private room,137,1,0,,,1,0,0,HB-002694
26114423,Double Room in Poble Sec / City Center,7916681,Giorgio,Sants-Montjuïc,el Poble Sec,41.37368,2.16649,Private room,150,4,107,2020-03-01,2.36,1,59,0,Exempt
26114499,Plaza España room to rent,180578800,Monika G,Sants-Montjuïc,Hostafrancs,41.37125,2.14336,Private room,35,1,17,2019-05-27,0.37,1,0,0,Exempt
26114542,Tiny Double Room,194229020,Adriana De LA CASA DE ANTONIO Bcn,Eixample,Sant Antoni,41.38495,2.16266,Hotel room,93,1,210,2022-03-06,4.72,4,345,51,HB-004666
26114578,Double Room Balcony to Gran Via,194229020,Adriana De LA CASA DE ANTONIO Bcn,Eixample,Sant Antoni,41.38495,2.16266,Hotel room,104,1,380,2022-03-08,8.56,4,347,186,HB-004666
26114727,Deluxe Triple Room,194229020,Adriana De LA CASA DE ANTONIO Bcn,Eixample,Sant Antoni,41.38481,2.16295,Hotel room,133,1,174,2022-03-06,3.95,4,349,81,HB-004666
26117184,Habitacion con vistas en Barcelona,102734932,Julio Cesar,Sants-Montjuïc,Sants - Badal,41.37685,2.12653,Private room,36,1,1,2018-08-08,0.02,1,0,0,Exempt
26373373,Cozy spacious private suite in Barcelona Sants,198334856,Keidy And Jorge,Sants-Montjuïc,Sants - Badal,41.37129,2.12978,Private room,139,2,47,2020-01-01,1.05,1,158,0,Exempt
26373550,GREAT SPACIOUS APARTMENT  IN THE GOTHIC QUARTER,198334993,JuanCa,Ciutat Vella,el Barri Gòtic,41.38038,2.18031,Entire home/apt,272,3,93,2022-03-03,2.10,3,142,31,HUTB-013215
26375868,PENTHOUSE CITY CENTER WITH 2  TERRACES AND VIEWS,198334993,JuanCa,Eixample,la Dreta de l'Eixample,41.38728,2.17082,Entire home/apt,380,3,134,2022-01-31,3.04,3,155,37,HUTB-008400
25819088,YHG2/6-Arago | Big and Luxurious Apartment,14979846,General Estate,Eixample,la Dreta de l'Eixample,41.39764,2.17163,Entire home/apt,100,32,0,,,10,254,0,
25824514,Relaxing & spacious 4 Bedroom apartment HUT-012568,144775738,Xavi,Les Corts,les Corts,41.38621,2.13632,Entire home/apt,106,2,8,2019-12-30,0.18,9,67,0,HUTB-012568
25825122,Bright & spacious apartment with balcony,144775738,Xavi,Les Corts,les Corts,41.38697,2.13727,Entire home/apt,106,2,15,2019-08-27,0.39,9,67,0,HUTB-012684
25825587,Habitación doble cn balcón. Raval Centro Barcelona,194038762,Can Quilombo,Ciutat Vella,el Raval,41.38004,2.16335,Private room,40,2,11,2018-10-21,0.24,2,0,0,Exempt
25938215,♛Spacious apt near Sagrada Familia /Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40655,2.17456,Entire home/apt,109,32,9,2021-12-19,0.20,19,0,3,HUTB-000333
25952623,"Céntrico , encantador, comodo",81022344,José Luis,Ciutat Vella,el Raval,41.3838,2.16477,Private room,37,31,0,,,1,365,0,
25954837,Brand new  suite room  in the center of the city.,175201005,Enric,Eixample,Sant Antoni,41.37943,2.15691,Private room,46,3,15,2019-09-02,0.33,1,0,0,Exempt
25959485,Wonderful 3-Bedroom Apartment near the Sagrada Família - Ref. GI2026,4459553,Eva&Jack,Eixample,el Fort Pienc,41.39919,2.1788,Entire home/apt,100,2,56,2022-02-20,1.24,169,327,20,HUTB-011549
