id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4802435,BEST LOCATION ON THE WATER!,19276170,Cecilie,,Vesterbro-Kongens Enghave,55.65131,12.54949,Entire home/apt,1144,1,65,2022-02-13,0.78,1,27,8,
4808710,Central & charming Vesterbro,23103523,Lise,,Vesterbro-Kongens Enghave,55.66595,12.55409,Entire home/apt,821,4,36,2022-02-17,0.41,1,1,3,
4820890,Unique house - central location,2118034,Helle And Tobias,,Amager Vest,55.64727,12.59253,Entire home/apt,800,2,12,2021-07-09,0.15,1,1,1,
4821181,Modern appartment in new area,2492967,Henrik,,Amager Vest,55.63335,12.57767,Entire home/apt,1329,3,22,2021-11-29,0.27,3,311,3,
4821928,Great 2-room apartment with perfect location,24829940,Mikael,,sterbro,55.69942,12.58585,Entire home/apt,500,14,23,2020-08-02,0.35,2,0,0,
4824478,Beautiful and cosy room in central Copenhagen,17925876,Frederik,,Vesterbro-Kongens Enghave,55.66719,12.55601,Private room,500,2,35,2021-09-30,0.98,1,351,2,
4846957,EXCELENT! Great Space&CityCenter (URL HIDDEN),24939871,Blanes,,Vesterbro-Kongens Enghave,55.67072,12.55864,Entire home/apt,2014,3,50,2022-03-06,0.61,4,0,2,
4847791,Family friendly inc baby cot in the CENTRAL CITY!!,24943487,Cheryl,,Indre By,55.6852,12.57033,Entire home/apt,900,1,10,2019-06-04,0.14,10,28,0,
4854620,Bright studio in the heart of CPH,14961017,Heidi Ann,,Indre By,55.68126,12.56191,Entire home/apt,800,8,11,2021-08-28,0.16,1,55,4,
4854777,Wonderful. Vesterbro. Everything within reach.,5045211,Sara & Martin,,Vesterbro-Kongens Enghave,55.66686,12.54638,Entire home/apt,1200,3,19,2021-10-20,0.34,1,10,4,
4855790,Newly renovated apartment in New Yorker style,23713942,Thomas,,Frederiksberg,55.67305,12.54918,Entire home/apt,1395,3,44,2020-03-02,0.54,1,0,0,
